"","kpc_control_1","kpc_control_2","kpc_control_3","kpc_knockdown_1","kpc_knockdown_2","kpc_knockdown_3"
"Stt3a",28.0355447709748,18.5510265646738,14.7741144965474,16.6412992819638,23.825398210224,18.2022377979762
"Ei24",21.9027693523241,42.8592682701084,39.2569328051116,35.6599270327796,36.9704454986234,33.5304380489036
"Gm27219",18.3983262559522,31.9845285597824,28.2818763219621,40.4145839704836,34.5057491320485,40.2365256586843
"Fez1",3.94249848341834,7.67628685434777,10.9750564831495,24.3676168057327,16.4313091104993,14.3701877352444
"Pknox2",3.94249848341834,1.27938114239129,5.90964579861895,13.6696386958989,16.4313091104993,9.5801251568296
"Tmem218",3.06638770932537,8.31597742554341,7.17599846975158,3.56599270327796,8.21565455524965,7.66410012546368
"Slc37a2",18.3983262559522,7.03659628315212,16.4625847247242,6.53765328934293,1.64313091104993,3.83205006273184
"Ccdc15",7.44694157979019,8.31597742554341,8.86446869792843,10.1036459926209,7.39408909972469,6.70608760978072
"Msantd2",16.2080493207198,20.4700982782607,28.7039938790063,27.9336095090107,36.1488800430985,35.4464630802695
"Nrgn",12.2655508373015,10.874739710326,12.2414091542821,11.2923102270469,9.85878546629958,13.4121752195614
"Siae",6.13277541865075,10.874739710326,3.7990580133979,6.53765328934293,7.39408909972469,7.66410012546368
"Tbrg1",94.6199636020401,149.047903088586,132.967030468926,115.894762856534,119.12699105112,107.297401756491
"Vwa5a",5.25666464455778,9.59535856793471,11.3971740401937,6.53765328934293,14.7881781994494,10.5381376725126
"Gramd1b",21.4647139652776,15.9922642798912,27.4376412078737,24.3676168057327,25.4685291212739,28.7403754704888
"Clmp",235.235742843961,287.221066466846,303.080405957743,216.33689066553,166.777787471568,192.560515652275
"Gm48293",14.0177723854874,18.5510265646738,17.3068198388126,19.6129598680288,13.1450472883994,19.1602503136592
"Hspa8",2196.40971065106,1960.65160071466,1878.84524640378,1923.25873130125,1959.43361142704,2154.57014777098
"Ubash3b",27.1594339968819,26.2273134190215,40.9454030332884,27.3392773917977,33.6841836765236,30.6564005018547
"Mir100hg",15.3319385466269,11.5144302815216,41.7896381473769,41.0089160876965,78.8702837303967,51.7326758468798
"Sc5d",77.0977481201808,81.8803931130428,84.8456289658864,70.1311898311332,73.1193255417219,82.3890763487345
"Tbcel",38.9869294471369,43.498958841304,37.990580133979,53.4898905491694,34.5057491320485,50.7746633311969
"Arhgef12",50.8144248973919,67.167509975543,59.0964579861895,76.0745110032632,86.2643728301213,86.2211264114664
"Oaf",290.430721611817,236.685511342389,263.823473152632,252.591149815522,276.867558511913,254.831329171667
"Nectin1",21.9027693523241,24.9479322766302,21.1058778522105,19.6129598680288,19.7175709325992,23.950312892074
"Thy1",655.330859021537,578.280276360865,388.348152480674,490.32399670072,393.529853196458,378.414943694769
"Usp2",14.4558277725339,13.4335019951086,7.59811602679579,14.8583029303248,9.85878546629958,13.4121752195614
"Rnf26",100.314683633644,90.1963705385863,65.4282213418527,90.932813933588,82.9781110080215,71.850938676222
"Cbl",15.7699939336733,12.7938114239129,16.8847022817684,11.8866423442599,13.9666127439244,16.2862127666103
"Hinfp",21.0266585782311,19.8304077070651,18.5731725099453,20.8016241024548,13.1450472883994,22.992300376391
"C2cd2l",38.1108186730439,40.9401965565214,34.1915221205811,28.5279416262237,32.0410527654736,33.5304380489036
"Dpagt1",10.951384676162,12.7938114239129,13.0856442683705,11.2923102270469,13.1450472883994,14.3701877352444
"Hmbs",54.7569233808102,46.6974116972822,52.7646946305263,52.8955584319564,32.8626182209986,38.3205006273184
"Vps11",90.6774651186217,85.0788459690211,48.9656366171285,69.5368577139202,81.3349800969715,82.3890763487345
"Gm10080",81.4783019906456,74.2041062586951,71.3378671404716,83.2064964098191,102.695681940621,99.6333016310278
"Hyou1",14.4558277725339,10.2350491391304,10.1308213690611,19.0186277508158,13.1450472883994,12.4541627038785
"Slc37a4",8.76110774092964,13.4335019951086,8.44235114088421,8.32064964098191,9.03722001077462,10.5381376725126
"Trappc4",57.8233110901356,65.8881288331517,78.091748053179,61.2162080729383,59.9742782533225,60.3547884880265
"Rps25",889.690491091405,903.88277709945,585.899169177365,727.462511468704,833.067371902315,718.50938676222
"Cenatac",5.69472003160426,7.03659628315212,15.6183496106358,13.0753065786859,17.2528745660243,17.2442252822933
"Bcl9l",64.3941418958328,85.0788459690211,78.5138656102232,74.2915146516242,79.6918491859216,62.2708135193924
"Ddx6",92.4296866668077,90.1963705385863,112.28327017376,108.168445332765,119.12699105112,86.2211264114664
"Phldb1",124.407729921201,115.144302815217,108.906329717406,127.187073083581,109.26820558482,135.079764711297
"Arcn1",76.6596927331343,105.548944247282,89.0668045363285,79.0461715893281,85.4428073745964,96.7592640839789
"Ift46",124.845785308247,108.107706532064,91.1773923215495,131.347397904072,100.230985574046,117.835539429004
"Kmt2a",84.544689699971,111.945849959238,113.971740401937,160.469671647508,107.62507467377,116.877526913321
"Gm39326",4.38055387046482,5.75721514076082,10.1308213690611,11.2923102270469,13.9666127439244,10.5381376725126
"Atp5mg",366.652358957905,307.691164745106,289.150526575284,258.534470987652,295.763563988987,206.930703387519
"Ube4a",11.3894400632085,12.7938114239129,10.5529389261053,17.2356313991768,13.9666127439244,13.4121752195614
"Cep164",14.8938831595804,21.749479420652,16.04046716768,24.9619489229457,17.2528745660243,20.1182628293422
"Rnf214",53.8808126067173,45.418030554891,57.8301053150569,44.5749087909745,50.1154927870229,60.3547884880265
"Pcsk7",16.6461047077663,24.9479322766302,29.1261114360505,22.5846204540938,18.8960054770742,16.2862127666103
"Sidt2",94.6199636020401,96.5932762505427,67.9609266841179,91.527146050801,94.480027385371,83.3470888644175
